juego,sorteo_predicho,fecha_sorteo,rango,combo,aciertos
kino,3231,2026-05-24,50,"1,2,3,7,8,12,13,15,17,19,20,22,23,24",9
kino,3231,2026-05-24,50,"1,2,4,5,8,11,12,13,16,17,19,20,23,25",7
kino,3231,2026-05-24,50,"1,2,3,9,10,12,13,16,17,19,21,22,24,25",9
kino,3231,2026-05-24,100,"3,4,5,7,10,12,13,14,17,18,21,22,23,25",6
kino,3231,2026-05-24,100,"3,4,5,9,10,12,13,14,17,18,19,21,22,25",7
kino,3231,2026-05-24,100,"2,3,5,6,10,11,13,14,17,18,19,23,24,25",6
kino,3231,2026-05-24,250,"3,4,5,8,9,10,12,13,14,17,19,23,24,25",8
kino,3231,2026-05-24,250,"2,3,4,8,9,10,13,16,17,19,21,23,24,25",8
kino,3231,2026-05-24,250,"1,2,3,7,9,10,13,16,17,18,20,22,23,24",9
kino,3231,2026-05-24,500,"1,4,7,8,9,12,13,15,16,18,19,23,24,25",9
kino,3231,2026-05-24,500,"1,4,6,9,10,11,13,14,15,18,19,21,23,24",8
kino,3231,2026-05-24,500,"1,4,7,9,10,13,14,15,17,18,20,21,22,25",8
kino,3231,2026-05-24,1000,"1,2,3,5,6,8,10,11,13,15,16,21,24,25",7
kino,3231,2026-05-24,1000,"2,3,4,6,9,12,13,15,16,19,21,22,23,25",8
kino,3231,2026-05-24,1000,"1,2,3,6,9,11,12,14,17,18,19,21,23,24",8
kino,3231,2026-05-24,all,"1,2,3,7,8,12,13,15,16,18,19,21,22,24",9
kino,3231,2026-05-24,all,"1,3,6,7,8,11,13,14,16,17,18,21,24,25",6
kino,3231,2026-05-24,all,"1,3,6,7,8,11,12,14,16,18,21,22,24,25",7
